2026-04-18 11:28:59.273 | torri.connection.gerrit        | DEBUG    | _getChange          :307  | Fetching and updating change=4 patchset=None
2026-04-18 11:28:59.273 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :79   | Event has no change number, dispatching directly
2026-04-18 11:28:59.273 | torri.connection.gerrit        | DEBUG    | _updateChange       :335  | Updating change=4 patchset=None history=['4']
2026-04-18 11:28:59.273 | torri.gerrit.event_processor   | DEBUG    | _dispatch_event     :101  | Dispatch event type=ref-updated change= branch=
2026-04-18 11:28:59.274 | torri.connection.gerrit        | DEBUG    | query               :225  | Query change=4 attempt=1/3
2026-04-18 11:28:59.274 | torri.gerrit.event_processor   | DEBUG    | _build_event        :27   | Building event from payload keys=['submitter', 'refUpdate', 'type', 'eventCreatedOn']
2026-04-18 11:28:59.274 | torri.connection.gerrit        | DEBUG    | _get                :254  | HTTP GET http://localhost:8087/g/a/changes/4?o=DETAILED_ACCOUNTS&o=CURRENT_REVISION&o=CURRENT_COMMIT&o=CURRENT_FILES&o=LABELS&o=DETAILED_LABELS&o=ALL_REVISIONS
2026-04-18 11:28:59.274 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :64   | Handling event type=ref-updated change= patch= project=libraries/common-utils
2026-04-18 11:28:59.276 | urllib3.connectionpool         | DEBUG    | _new_conn           :241  | Starting new HTTP connection (2): localhost:8087
2026-04-18 11:28:59.276 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :79   | Event has no change number, dispatching directly
2026-04-18 11:28:59.277 | torri.gerrit.event_processor   | DEBUG    | _dispatch_event     :101  | Dispatch event type=ref-updated change= branch=
2026-04-18 11:28:59.277 | torri.gerrit.event_processor   | DEBUG    | _build_event        :27   | Building event from payload keys=['submitter', 'refUpdate', 'type', 'eventCreatedOn']
2026-04-18 11:28:59.277 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :64   | Handling event type=ref-updated change= patch= project=libraries/common-utils
2026-04-18 11:28:59.278 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :79   | Event has no change number, dispatching directly
2026-04-18 11:28:59.278 | torri.gerrit.event_processor   | DEBUG    | _dispatch_event     :101  | Dispatch event type=ref-updated change= branch=
2026-04-18 11:28:59.278 | torri.gerrit.event_processor   | DEBUG    | _build_event        :27   | Building event from payload keys=['submitter', 'refUpdate', 'type', 'eventCreatedOn']
2026-04-18 11:28:59.278 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :64   | Handling event type=ref-updated change= patch= project=libraries/common-utils
2026-04-18 11:28:59.279 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :79   | Event has no change number, dispatching directly
2026-04-18 11:28:59.279 | torri.gerrit.event_processor   | DEBUG    | _dispatch_event     :101  | Dispatch event type=ref-updated change= branch=
2026-04-18 11:28:59.279 | torri.gerrit.event_processor   | DEBUG    | _build_event        :27   | Building event from payload keys=['changer', 'patchSet', 'change', 'project', 'refName', 'changeKey', 'type', 'eventCreatedOn']
2026-04-18 11:28:59.279 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :64   | Handling event type=wip-state-changed change=4 patch=1 project=libraries/common-utils
2026-04-18 11:28:59.279 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :73   | Submitting change enrichment for change=4
2026-04-18 11:28:59.280 | torri.connection.gerrit        | DEBUG    | _getChange          :280  | Cache hit for key=('4', None)
2026-04-18 11:28:59.280 | torri.gerrit.event_processor   | DEBUG    | _on_enrichment_done :86   | Enrichment done for change=4 has_details=True
2026-04-18 11:28:59.280 | torri.gerrit.event_processor   | DEBUG    | _dispatch_event     :101  | Dispatch event type=wip-state-changed change=4 branch=master
2026-04-18 11:28:59.302 | urllib3.connectionpool         | DEBUG    | _make_request       :544  | http://localhost:8087 "GET /g/a/changes/4?o=DETAILED_ACCOUNTS&o=CURRENT_REVISION&o=CURRENT_COMMIT&o=CURRENT_FILES&o=LABELS&o=DETAILED_LABELS&o=ALL_REVISIONS HTTP/1.1" 200 1309
2026-04-18 11:28:59.303 | urllib3.connectionpool         | DEBUG    | _make_request       :544  | http://localhost:8087 "GET /g/a/changes/3?o=DETAILED_ACCOUNTS&o=CURRENT_REVISION&o=CURRENT_COMMIT&o=CURRENT_FILES&o=LABELS&o=DETAILED_LABELS&o=ALL_REVISIONS HTTP/1.1" 200 1309
2026-04-18 11:28:59.306 | torri.connection.gerrit        | DEBUG    | _get                :257  | HTTP 200 bytes=4784
2026-04-18 11:28:59.307 | torri.connection.gerrit        | DEBUG    | _get                :257  | HTTP 200 bytes=4787
2026-04-18 11:28:59.308 | torri.connection.gerrit        | DEBUG    | _get                :254  | HTTP GET http://localhost:8087/g/a/changes/4/revisions/908602f16c1e088a7a0c390a96033bd11d948ed9/related
2026-04-18 11:28:59.308 | torri.connection.gerrit        | DEBUG    | _get                :254  | HTTP GET http://localhost:8087/g/a/changes/3/revisions/71ea7ebfa01ffc2f7bb8dc20fd29f3d674db85db/related
2026-04-18 11:28:59.325 | urllib3.connectionpool         | DEBUG    | _make_request       :544  | http://localhost:8087 "GET /g/a/changes/4/revisions/908602f16c1e088a7a0c390a96033bd11d948ed9/related HTTP/1.1" 200 472
2026-04-18 11:28:59.326 | torri.connection.gerrit        | DEBUG    | _get                :257  | HTTP 200 bytes=1293
2026-04-18 11:28:59.327 | torri.connection.gerrit        | DEBUG    | query               :234  | Query success change=4 current_revision=908602f16c1e088a7a0c390a96033bd11d948ed9 related_count=3
2026-04-18 11:28:59.327 | torri.connection.gerrit        | DEBUG    | _prepareDependencyListFromHttp:323  | Dependencies for change=4 depends_on=(3, 1) needed_by=[]
